%id,name,mfcc,scem,scom,srom,sbwm,tempo,rmse
24,Looking Down the Barrel of Today.mp3,9.016080518,3074.091351,18.47317887,6244.995571,2723.52532,117.4538352,7.482840538
25,Lose Yourself - Soundtrack Version.mp3,9.776713802,2342.703671,20.21185933,4844.570706,2447.774916,86.1328125,9.346674919
26,Mercy.1.mp3,7.763382858,2616.773102,20.37916046,5723.473724,2707.3958,135.9991776,7.949509144
27,My Way.mp3,8.820102188,2801.521274,18.96324674,5928.15582,2616.946403,129.1992188,9.323859215
28,Notorious Thugs - feat. Bone Thugs and Harmony Explicit.mp3,4.373697783,2871.38854,20.54587577,6280.312024,2859.109759,151.9990809,6.263497829
29,One Step Closer.mp3,7.611478075,2962.395646,18.93139026,6074.488268,2708.848092,95.703125,7.91462326
30,Panda.mp3,7.228293417,2660.238287,21.26910859,5162.052119,2376.475273,143.5546875,8.62389183
31,Patiently Waiting.mp3,7.30640367,2292.370627,20.81634325,4712.271506,2372.98098,103.359375,7.888511658
32,POWER.mp3,8.002379081,2517.518436,19.8697712,5265.03483,2506.761237,151.9990809,9.522476196
33,Propaganda.mp3,9.360481584,3530.670968,19.12314087,7236.189577,2875.109012,151.9990809,8.749369621
34,Purple Lamborghini (with Rick Ross).mp3,6.597613157,3307.776076,19.92805055,7146.115122,2987.033143,143.5546875,10.72292423
35,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit).mp3,6.400478266,2308.880785,20.3113814,5176.985362,2585.940156,129.1992188,8.785757065
36,Put On.mp3,9.00246686,2796.405846,20.22858286,6367.661496,2901.81319,135.9991776,10.15357113
37,Rap God.mp3,7.840335906,2701.198558,19.46494423,5359.925923,2570.595734,99.38401442,9.336885452
38,Regulate.mp3,3.687111404,1793.371662,20.23273395,4101.341866,2424.076739,95.703125,5.162091732
39,Smells Like Teen Spirit.mp3,6.97711738,2972.057635,19.36854243,5685.073956,2466.125736,117.4538352,7.777246952
40,Tempo.mp3,0.394335889,2767.721266,19.98132853,5623.29933,2550.598714,112.3471467,6.606503487
41,The Drop.mp3,5.871243549,3036.743532,20.85625576,6500.027362,2828.785356,112.3471467,9.735955238
42,Thunderstruck.mp3,7.800178019,2802.048441,19.72627401,5534.649866,2481.257762,135.9991776,6.906495094
43,We Own It (Fast & Furious).mp3,5.659861262,2210.367489,19.41836791,4692.413292,2430.720075,86.1328125,4.339350224
44,Welcome To The Jungle.mp3,3.314639506,2653.081623,19.56510556,5209.860163,2335.93714,123.046875,4.190575123
45,Wild for the Night.mp3,7.909813188,2918.005158,19.83592363,6597.643438,2891.844519,143.5546875,11.05517006
46,'Till I Collapse.mp3,7.283615702,2674.774992,19.87695238,5288.601354,2482.27942,86.1328125,8.857639313
47,A Milli.mp3,0.319868183,2984.144801,21.8432177,6185.670929,2719.48005,103.359375,7.212767601
48,All The Way Up (Remix).mp3,-1.639083191,2541.987379,21.93848198,5268.393143,2485.670784,117.4538352,5.651818752
49,Antidote.mp3,3.710087767,2866.04269,21.82841205,6488.544098,2923.624559,129.1992188,8.435676575
50,A Game of Badminton.mp3,-17.24234599,634.3335891,26.24925447,888.7279593,638.5055718,129.1992188,0.685373425
51,A Sky Full of Flowers.mp3,-6.704556242,508.7427631,25.2281263,816.795061,518.2488816,107.6660156,2.6118505
52,Awakening.mp3,-7.155674911,458.2734176,25.34145242,621.8129066,347.5161371,123.046875,3.206788301
53,Cascade.mp3,-9.530027802,670.5224107,22.570426,1023.685477,1089.964626,129.1992188,1.31971693
54,Dalur.mp3,-1.974848313,518.8187349,23.71006238,658.8876825,854.1982326,129.1992188,4.457283974
55,Davvi plays.mp3,-22.01740779,667.656677,24.60685916,982.0440617,975.1669672,86.1328125,0.294703752
56,Deco.mp3,-12.73177852,479.8956283,25.79908456,704.3540742,464.7985056,99.38401442,1.413343072
57,Departure (Home).mp3,-12.3802558,581.583764,24.59352109,831.9116362,828.0423347,151.9990809,0.903794587
58,Echoes of You.mp3,-8.220082382,511.390134,24.53161892,819.653377,521.0619881,99.38401442,3.062158346
